epoch: 0	 loss: 0.690683	 micro_f1: 0.8258	 macro_f1: 0.7040
epoch: 1	 loss: 0.320795	 micro_f1: 0.8558	 macro_f1: 0.7751
epoch: 2	 loss: 0.248596	 micro_f1: 0.8618	 macro_f1: 0.7939
epoch: 3	 loss: 0.199421	 micro_f1: 0.8688	 macro_f1: 0.8070
epoch: 4	 loss: 0.159088	 micro_f1: 0.8692	 macro_f1: 0.8073
epoch: 5	 loss: 0.131746	 micro_f1: 0.8686	 macro_f1: 0.8093
epoch: 6	 loss: 0.110452	 micro_f1: 0.8632	 macro_f1: 0.7977
epoch: 7	 loss: 0.101104	 micro_f1: 0.8630	 macro_f1: 0.8034
epoch: 8	 loss: 0.087211	 micro_f1: 0.8615	 macro_f1: 0.8006
epoch: 9	 loss: 0.084685	 micro_f1: 0.8683	 macro_f1: 0.8053
epoch: 10	 loss: 0.079968	 micro_f1: 0.8693	 macro_f1: 0.8074
epoch: 11	 loss: 0.074988	 micro_f1: 0.8615	 macro_f1: 0.8058
epoch: 12	 loss: 0.075833	 micro_f1: 0.8708	 macro_f1: 0.8134
epoch: 13	 loss: 0.071618	 micro_f1: 0.8675	 macro_f1: 0.8070
epoch: 14	 loss: 0.073535	 micro_f1: 0.8640	 macro_f1: 0.8011
epoch: 15	 loss: 0.074020	 micro_f1: 0.8642	 macro_f1: 0.8009
epoch: 16	 loss: 0.069931	 micro_f1: 0.8676	 macro_f1: 0.8026
epoch: 17	 loss: 0.069533	 micro_f1: 0.8660	 macro_f1: 0.8043
epoch: 18	 loss: 0.069548	 micro_f1: 0.8664	 macro_f1: 0.8047
epoch: 19	 loss: 0.066948	 micro_f1: 0.8701	 macro_f1: 0.8095
